"","ID","cagb","cbgb","ctotal4inv","tot_area","inter_area"
"259","CR250240",1.03,4.74,9.4,38709766590.8987,32444749.3053171
"260","CR250240",1.03,4.74,9.4,5133580946.8382,283926694.276707
"261","CR250240",1.04,10.15,12.77,10276555269.6776,6365073.06294147
"262","CR250241",98.7,23.69,136.17,78125595.3831807,3106.11091159609
"263","CR250241",120.58,28.94,167.16,145448273.911623,425346.566394763
"264","CR250241",1.03,4.74,9.4,95776736.0845105,336899.203914126
"265","CR250241",98.7,23.69,136.17,1508142488.00348,22149605.1796331
"266","CR250241",120.58,28.94,167.16,7036463465.53076,59772113.1410934
"267","CR250241",0.73,0.77,5.13,300672690.150814,17018426.144948
"268","CR250241",1.04,10.15,12.77,11047968253.7415,15.6374634508509
"269","CR250241",0.73,0.77,5.13,47898053374.4299,1553228520.52346
"270","CR250241",1.04,10.15,12.77,945534655.38946,0.024826918670442
"271","CR250241",120.58,28.94,167.16,1600476.79085388,512372.507357206
"272","CR250241",120.58,28.94,167.16,7076299902.76571,627444436.803019
"273","CR250241",37.74,10.58,55.51,5563925318.74425,59.8045851804471
"274","CR250241",1.03,4.74,9.4,38709766590.8987,170986479.404331
"275","CR250241",37.74,10.58,55.41,11213427796.265,27.4470629149346
"276","CR250241",1.03,4.74,9.4,5133580946.8382,197137034.477044
"277","CR250241",1.04,10.15,12.77,10276555269.6776,18278777.7602142
"278","CR250242",120.58,28.94,167.16,145448273.911623,0.891626019262301
"279","CR250242",1.03,4.74,9.4,95776736.0845105,589069.330500175
"280","CR250242",98.7,23.69,136.17,1508142488.00348,7940163.61615674
"281","CR250242",120.58,28.94,167.16,7036463465.53076,27497503.3626811
"282","CR250242",1.03,4.74,9.4,637188597.606285,4794861.97955952
"283","CR250242",0.73,0.77,5.13,300672690.150814,9594972.87474056
"284","CR250242",1.04,10.15,12.77,11047968253.7415,1020978.94046043
"285","CR250242",0.73,0.77,5.13,47898053374.4299,1654633709.9322
"286","CR250242",0.73,0.77,5.13,43692704.2308405,20.7350004127567
"287","CR250242",37.74,10.58,55.51,2660646546.7248,46.1443612094275
"288","CR250242",62.65,15.04,86.05,54585075.7176183,12.0347434102441
"289","CR250242",120.58,28.94,167.16,7076299902.76571,166100548.638912
"290","CR250242",37.74,10.58,55.51,5563925318.74425,54.2309302945709
"291","CR250242",1.03,4.74,9.4,38709766590.8987,130122608.756953
"292","CR250242",1.03,4.74,9.4,5133580946.8382,534501940.095289
"293","CR250242",1.04,10.15,12.77,10276555269.6776,82410377.0905669
"294","CR250243",62.65,15.04,86.05,764209375.708098,3.06891187205036
"295","CR250243",1.03,4.74,9.4,95776736.0845105,26921.6430451721
"296","CR250243",98.7,23.69,136.17,1508142488.00348,3606959.53349474
"297","CR250243",120.58,28.94,167.16,7036463465.53076,6461031.41071136
"298","CR250243",1.03,4.74,9.4,637188597.606285,9757388.93295461
"299","CR250243",0.73,0.77,5.13,300672690.150814,1090879.26571856
"300","CR250243",1.04,10.15,12.77,11047968253.7415,5.5014826618135
"301","CR250243",0.73,0.77,5.13,47898053374.4299,384196564.38653
"302","CR250243",78.82,18.92,109.29,40689337.1357195,6.08450609000549
"303","CR250243",1.03,4.74,9.4,38709766590.8987,387784695.70836
"304","CR250243",1.03,4.74,9.4,5133580946.8382,85105800.5621943
"305","CR250243",1.04,10.15,12.77,10276555269.6776,8948388.15493024
"306","CR251237",98.7,23.69,136.17,1508142488.00348,7137632.24151189
"307","CR251237",120.58,28.94,167.16,7036463465.53076,170118274.562196
"308","CR251237",0.73,0.77,5.13,47898053374.4299,2260456.79286923
"309","CR251237",0.73,0.77,5.13,43692704.2308405,93246.765556857
"310","CR251237",0.73,0.77,5.13,8897202843.17605,293044239.814681
"311","CR251237",120.58,28.94,167.16,7076299902.76571,60.7112417758932
"312","CR251237",0,0,0,1107339646.40207,53.5198273505134
"313","CR251237",1.03,4.74,9.4,38709766590.8987,527499204.198087
"314","CR251237",37.74,10.58,55.41,11213427796.265,45712998.2190447
"315","CR251238",0.73,0.77,5.13,47898053374.4299,1414675342.49335
"316","CR251238",1.03,4.74,9.4,254703236.410619,104.590455919991
"317","CR251238",0.73,0.77,5.13,8897202843.17605,27351837.5580147
"318","CR251238",120.58,28.94,167.16,7076299902.76571,9.13982288818806
"319","CR251238",1.03,4.74,9.4,38709766590.8987,1203752974.87974
"320","CR251238",37.74,10.58,55.41,11213427796.265,60509768.8201219
"321","CR251239",98.7,23.69,136.17,1508142488.00348,5503437.83425371
"322","CR251239",120.58,28.94,167.29,10970700.1841034,172723.036882423
"323","CR251239",120.58,28.94,167.16,7036463465.53076,178121799.895794
"324","CR251239",1.03,4.74,9.4,637188597.606285,356724.478454678
"325","CR251239",0.73,0.77,5.13,300672690.150814,1089641.85389132
"326","CR251239",1.04,10.15,12.77,1428680311.19128,4.06508629144804
"327","CR251239",0.73,0.77,5.13,47898053374.4299,1178202144.74897
"328","CR251239",0.73,0.77,5.13,8897202843.17605,25151543.7000503
"329","CR251239",120.58,28.94,167.16,7076299902.76571,3.69893148247828
"330","CR251239",1.03,4.74,9.4,38709766590.8987,436293457.094005
"331","CR251239",37.74,10.58,55.41,11213427796.265,15.1731325173673
"332","CR251239",1.03,4.74,9.4,5133580946.8382,595151.877178896
"333","CR251239",1.04,10.15,12.77,10276555269.6776,4.82364801394006
"334","CR251240",120.58,28.94,167.16,145448273.911623,407766.750467762
"335","CR251240",1.03,4.74,9.4,95776736.0845105,1559140.8734064
"336","CR251240",98.7,23.69,136.17,1508142488.00348,32273030.3812838
"337","CR251240",52.08,12.25,69.8,589642705.118406,11.0851379758492
"338","CR251240",120.58,28.94,167.16,7036463465.53076,390048202.689102
"339","CR251240",1.03,4.74,9.4,637188597.606285,6439264.25737694
"340","CR251240",37.74,10.58,55.41,89927242.3204199,2.4818333897274
"341","CR251240",0.73,0.77,5.13,300672690.150814,13863577.5705596
"342","CR251240",1.04,10.15,12.77,11047968253.7415,525047.307186905
"343","CR251240",1.04,10.15,12.77,1428680311.19128,2.74495442863554
"344","CR251240",0.73,0.77,5.13,47898053374.4299,1202810681.6393
"345","CR251240",1.04,10.15,12.77,945534655.38946,2.81137760635465
"346","CR251240",1.03,4.74,9.4,38709766590.8987,507641895.359551
"347","CR251240",1.03,4.74,9.4,5133580946.8382,477040137.7865
"348","CR251240",1.04,10.15,12.77,10276555269.6776,28168991.1516531
"349","CR251241",98.7,23.69,136.17,78125595.3831807,52265.8411293616
"350","CR251241",120.58,28.94,167.16,145448273.911623,464740.669741347
"351","CR251241",1.03,4.74,9.4,95776736.0845105,3562370.1359296
"352","CR251241",98.7,23.69,136.17,1508142488.00348,11601196.2036707
"353","CR251241",120.58,28.94,167.16,7036463465.53076,119981303.539303
"354","CR251241",1.03,4.74,9.4,637188597.606285,35088723.6169859
"355","CR251241",0.73,0.77,5.13,300672690.150814,4594211.45777602
"356","CR251241",1.04,10.15,12.77,11047968253.7415,74549.7477891754
"357","CR251241",1.04,10.15,12.77,1428680311.19128,11.8634667308377
"358","CR251241",0.73,0.77,5.13,47898053374.4299,120076479.969493
"359","CR251241",0.73,0.77,5.13,43692704.2308405,1.95129680954419
"360","CR251241",37.74,10.58,55.51,2660646546.7248,2.18916292500217
"361","CR251241",78.82,18.92,109.29,40689337.1357195,3.1219953102991
"362","CR251241",1.04,10.15,12.77,92000623.9823982,4.97989911908447
"363","CR251241",1.04,10.15,12.77,99533801.2269533,5.86664109243061
"364","CR251241",1.03,4.74,9.4,38709766590.8987,1601900868.19542
"365","CR251241",1.03,4.74,9.4,5133580946.8382,725135579.982367
"366","CR251241",1.04,10.15,12.77,10276555269.6776,44763731.74974
"367","CR251242",98.7,23.69,136.17,78125595.3831807,104895.302704409
"368","CR251242",120.58,28.94,167.16,145448273.911623,176444.568605769
"369","CR251242",1.03,4.74,9.4,95776736.0845105,8205773.37091209
"370","CR251242",98.7,23.69,136.17,1508142488.00348,16170322.3426916
"371","CR251242",120.58,28.94,167.16,7036463465.53076,90187345.7851229
"372","CR251242",0,0,0,364691685.522491,11.0430229953588
"373","CR251242",1.03,4.74,9.4,637188597.606285,51218789.1031168
"374","CR251242",0.73,0.77,5.13,300672690.150814,11524278.42835
"375","CR251242",1.04,10.15,12.77,11047968253.7415,61.654315679494
"376","CR251242",0.73,0.77,5.13,47898053374.4299,623549671.913027
"377","CR251242",62.65,15.04,86.05,54585075.7176183,31.5360023292346
"378","CR251242",78.82,18.92,109.29,40689337.1357195,7.28224477066432
"379","CR251242",120.58,28.94,167.16,214100.241980786,9.22417834655023
"380","CR251242",1.04,10.15,12.77,92000623.9823982,17.7140561666045
"381","CR251242",58.05,13.66,79.92,181205183.461674,0.0319346535750737
"382","CR251242",1.03,4.74,9.4,38709766590.8987,1091671813.00566
"383","CR251242",1.03,4.74,9.4,5133580946.8382,737220107.300713
"384","CR251242",1.04,10.15,12.77,10276555269.6776,23871710.741888
"385","CR251243",98.7,23.69,136.17,78125595.3831807,10.3989643509834
"386","CR251243",52.08,12.25,69.8,6746662.89609597,26.67946931323
"387","CR251243",120.58,28.94,167.16,145448273.911623,471468.828327426
"388","CR251243",1.03,4.74,9.4,95776736.0845105,8727945.9340346
"389","CR251243",98.7,23.69,136.17,1508142488.00348,3360547.14226492
"390","CR251243",120.58,28.94,167.16,7036463465.53076,19898917.9647431
